,Entity,mortality_rate,agriculture_land,hapiness_rate,literacy_rate,maternal_mortality,life_expectancy,birth_rate,terrorist_incidents,health_expenses,inflation_rate,basic_sanitation,gdp,population_density
41,Cote d'Ivoire,9.027300262451172,64.7798742138365,4.445038795,43.26532,645.0,53.053001,37.099000000000004,4.0,5.26271074,1.25149954781471,29.9318380607918,39633467835.725,72.6681509433962
42,Croatia,0.4489999771118165,27.476768684523602,5.205438137,99.272591,8.0,77.475998,8.9,0.0,7.15420884,-0.46449900464500204,97.4661284549188,49490142433.1046,75.11801286633309
45,Cyprus,0.4613999843597412,13.799783780977302,5.439161301,99.059776,7.0,80.344002,10.984000000000002,3.0,6.8085447,-2.09699769053116,99.3696608636364,19680625485.1946,125.647727272727
46,Czech Republic,0.2904000043869019,45.2532055433234,6.608017445,,4.0,78.58000200000001,10.5,4.0,7.24275683,0.309364548494974,99.13616018347669,186829940545.75897,136.57160062160102
47,Democratic Republic of Congo,10.73190002441406,11.5568690589092,3.9027416710000002,77.221672,693.0,59.205002,42.809,143.0,3.9869163,0.7441989947814991,19.7136866282261,37917704900.0794,33.6104713173507
48,Denmark,0.3779000043869019,62.181471778995,7.5144248010000005,,6.0,80.586998,10.2,4.0,10.27382498,0.452034153691623,99.5972302049963,302673037998.602,135.353250773994
50,Dominican Republic,2.633600044250488,48.6855723452701,5.061862468999999,92.465424,92.0,73.672997,20.513,0.0,6.04389175,0.8367463467245759,82.6969817385066,68802092020.9448,217.934050921134
51,Ecuador,2.3993999481201165,23.306490184988498,5.964075089,94.515472,64.0,76.101997,20.477,1.0,8.58845682,3.96664623255354,86.1382159564663,99290381000.0,65.0038975680464
52,Egypt,2.1799999237060548,3.8071928446305696,4.7625384330000005,75.842621,33.0,71.304001,27.201999999999998,647.0,4.62285691,10.362069735256,93.1694798363426,332698041030.807,94.2068129991461
53,El Salvador,1.8037000656127933,75.53088803088801,6.018496037,87.648216,54.0,73.266998,18.69,0.0,6.86405934,-0.731384487387986,91.1250736675765,23166030400.0,304.656274131274
54,Equatorial Guinea,10.07600021362305,10.124777183600699,,95.195663,342.0,57.433997999999995,34.635,0.0,2.70818175,1.6766308531598502,74.53794938545171,13180195435.1132,41.90335115864529
56,Estonia,0.3875999927520752,22.843340234644604,5.628908634,99.823509,9.0,77.383003,10.6,2.0,6.48181399,-0.49232600654733794,99.6088323567771,22904456871.8171,31.0310686482661
57,Ethiopia,6.050600051879883,36.259,4.573154926,49.031521000000005,353.0,65.037003,32.299,7.0,3.97593223,10.110747736102699,7.0789180703781405,64464547915.2698,99.87303299999999
59,Finland,0.2371999979019165,7.48050377527475,7.447925568,,3.0,81.148003,10.1,9.0,9.74289421,-0.20792883990521804,99.44792463654659,232850788304.513,18.030110888091897
60,France,0.37060000896453865,52.4637632255604,6.357625007999999,,8.0,82.369003,12.0,37.0,11.50136047,0.0375143805125363,98.6520040281974,2438207896251.84,121.61905701141599
63,Gabon,5.225799942016604,20.0256141576435,4.66101265,83.237877,291.0,65.684998,30.089000000000002,0.0,2.65743937,-0.338795188753357,40.930385991297605,14377324797.637,7.49087980750572
64,Gambia,7.0969001770019515,59.7826086956522,,55.572762,706.0,60.953998999999996,39.986999999999995,0.0,4.76148864,6.80832625174806,41.6937609285644,1394149615.0246801,195.414031620553
65,Georgia,1.1503000259399412,34.7978140402396,4.1219406130000005,99.759621,36.0,73.096001,13.795,1.0,7.93235924,4.00357820695098,84.8767172511691,13993546747.7492,65.0320165156234
66,Germany,0.32780001163482675,47.959206296419495,7.037137508,,6.0,80.848,9.0,65.0,11.07906625,0.51442053951781,99.21912409874349,3381389338658.82,234.153658068159
67,Ghana,6.3057998657226575,68.9988573437637,3.9859161380000003,76.575897,319.0,62.448002,31.557,0.0,6.08769695,17.149969500787698,14.2795059315063,49181854798.2552,121.221855497934
